id	name	L1denovoFlasch	L1denovoSultana	L1denovo	L1Pol	L1HS	Control
H2AFZ_signal	H2AFZ	L1denovo_Flasch_H1-hESC_H2AFZ_signal.bed	L1denovo_Sultana_H1-hESC_H2AFZ_signal.bed	L1denovo_H1-hESC_H2AFZ_signal.bed	L1Pol_H1-hESC_H2AFZ_signal.bed	L1HS_H1-hESC_H2AFZ_signal.bed	Control_H1-hESC_H2AFZ_signal.bed
H3K27ac_signal	H3K27ac	L1denovo_Flasch_H1-hESC_H3K27ac_signal.bed	L1denovo_Sultana_H1-hESC_H3K27ac_signal.bed	L1denovo_H1-hESC_H3K27ac_signal.bed	L1Pol_H1-hESC_H3K27ac_signal.bed	L1HS_H1-hESC_H3K27ac_signal.bed	Control_H1-hESC_H3K27ac_signal.bed
H4K20me1_signal	H4K20me1	L1denovo_Flasch_H1-hESC_H4K20me1_signal.bed	L1denovo_Sultana_H1-hESC_H4K20me1_signal.bed	L1denovo_H1-hESC_H4K20me1_signal.bed	L1Pol_H1-hESC_H4K20me1_signal.bed	L1HS_H1-hESC_H4K20me1_signal.bed	Control_H1-hESC_H4K20me1_signal.bed
H3K36me3_signal	H3K36me3	L1denovo_Flasch_H1-hESC_H3K36me3_signal.bed	L1denovo_Sultana_H1-hESC_H3K36me3_signal.bed	L1denovo_H1-hESC_H3K36me3_signal.bed	L1Pol_H1-hESC_H3K36me3_signal.bed	L1HS_H1-hESC_H3K36me3_signal.bed	Control_H1-hESC_H3K36me3_signal.bed
H3K4me1_signal	H3K4me1	L1denovo_Flasch_H1-hESC_H3K4me1_signal.bed	L1denovo_Sultana_H1-hESC_H3K4me1_signal.bed	L1denovo_H1-hESC_H3K4me1_signal.bed	L1Pol_H1-hESC_H3K4me1_signal.bed	L1HS_H1-hESC_H3K4me1_signal.bed	Control_H1-hESC_H3K4me1_signal.bed
H3K4me2_signal	H3K4me2	L1denovo_Flasch_H1-hESC_H3K4me2_signal.bed	L1denovo_Sultana_H1-hESC_H3K4me2_signal.bed	L1denovo_H1-hESC_H3K4me2_signal.bed	L1Pol_H1-hESC_H3K4me2_signal.bed	L1HS_H1-hESC_H3K4me2_signal.bed	Control_H1-hESC_H3K4me2_signal.bed
H3K4me3_signal	H3K4me3	L1denovo_Flasch_H1-hESC_H3K4me3_signal.bed	L1denovo_Sultana_H1-hESC_H3K4me3_signal.bed	L1denovo_H1-hESC_H3K4me3_signal.bed	L1Pol_H1-hESC_H3K4me3_signal.bed	L1HS_H1-hESC_H3K4me3_signal.bed	Control_H1-hESC_H3K4me3_signal.bed
H3K79me2_signal	H3K79me2	L1denovo_Flasch_H1-hESC_H3K79me2_signal.bed	L1denovo_Sultana_H1-hESC_H3K79me2_signal.bed	L1denovo_H1-hESC_H3K79me2_signal.bed	L1Pol_H1-hESC_H3K79me2_signal.bed	L1HS_H1-hESC_H3K79me2_signal.bed	Control_H1-hESC_H3K79me2_signal.bed
H3K9ac_signal	H3K9ac	L1denovo_Flasch_H1-hESC_H3K9ac_signal.bed	L1denovo_Sultana_H1-hESC_H3K9ac_signal.bed	L1denovo_H1-hESC_H3K9ac_signal.bed	L1Pol_H1-hESC_H3K9ac_signal.bed	L1HS_H1-hESC_H3K9ac_signal.bed	Control_H1-hESC_H3K9ac_signal.bed
H3K9me3_signal	H3K9me3	L1denovo_Flasch_H1-hESC_H3K9me3_signal.bed	L1denovo_Sultana_H1-hESC_H3K9me3_signal.bed	L1denovo_H1-hESC_H3K9me3_signal.bed	L1Pol_H1-hESC_H3K9me3_signal.bed	L1HS_H1-hESC_H3K9me3_signal.bed	Control_H1-hESC_H3K9me3_signal.bed
H3K27me3_signal	H3K27me3	L1denovo_Flasch_H1-hESC_H3K27me3_signal.bed	L1denovo_Sultana_H1-hESC_H3K27me3_signal.bed	L1denovo_H1-hESC_H3K27me3_signal.bed	L1Pol_H1-hESC_H3K27me3_signal.bed	L1HS_H1-hESC_H3K27me3_signal.bed	Control_H1-hESC_H3K27me3_signal.bed
CTCF_signal	CTCF	L1denovo_Flasch_ENCFF000AVN_signal.bed	L1denovo_Sultana_ENCFF000AVN_signal.bed	L1denovo_ENCFF000AVN_signal.bed	L1Pol_ENCFF000AVN_signal.bed	L1HS_ENCFF000AVN_signal.bed	Control_ENCFF000AVN_signal.bed
DNase_DHS_signal	DNase hypersensitive sites	L1denovo_Flasch_ENCFF316ZUB_signal.bed	L1denovo_Sultana_ENCFF316ZUB_signal.bed	L1denovo_ENCFF316ZUB_signal.bed	L1Pol_ENCFF316ZUB_signal.bed	L1HS_ENCFF316ZUB_signal.bed	Control_ENCFF316ZUB_signal.bed
