Feature	test1	test2	test3	test4	test5	test6
H2AFZ_signal	n	n	y	y	y	y
H3K27ac_signal	y	n	y	y	y	y
H4K20me1_signal	n	n	y	n	n	y
H3K36me3_signal	y	n	y	n	n	y
H3K4me1_signal	y	n	y	y	y	y
H3K4me2_signal	y	n	n	y	y	n
H3K4me3_signal	y	n	n	y	y	n
H3K79me2_signal	na	n	n	n	n	n
H3K9ac_signal	y	n	y	y	y	y
H3K9me3_signal	na	y	y	y	y	y
H3K27me3_signal	y	y	n	y	y	n
CTCF_signal	na	n	n	y	y	y
DNase_DHS_signal	y	n	y	y	y	y
RNA_PolII	y	n	y	y	y	y
Quadruplex	y	n	n	y	y	na
A_Phased	na	n	n	n	n	na
Direct_Repeats	n	y	y	n	y	y
Inverted_Repeats	na	y	n	n	n	n
Mirror_Repeats	y	y	y	na	y	y
Z_DNA	na	y	n	y	n	na
Most_Conserved	n	n	y	y	y	y
Exons	y	y	y	y	y	n
Introns	n	n	n	n	n	na
GC_Content	y	n	y	y	y	n
AT_Content	cor	cor	cor	cor	cor	cor
Mononucleotide	y	y	y	y	y	y
Morethan1_nuc	n	y	y	na	na	na
DNA_Transposons	na	na	na	na	na	na
SINE_Alu	y	n	y	y	y	y
SINE_MIR	n	n	n	n	n	y
LTR_Elements	n	n	y	n	n	na
L1_Targets	n	y	y	y	y	na
LINE_L2&L3	y	y	y	na	na	na
CpG_Islands	y	y	n	y	y	n
5hMc	na	n	n	n	n	n
Sperm_hypometh	y	y	y	y	y	n
Rep_origin	y	n	y	y	y	y
Recombination_Hot	n	y	y	n	y	y
Exon_Expression	cor	cor	cor	cor	cor	cor
Gene_Expression	n	n	n	n	n	n
Tracript_Expression	cor	cor	cor	cor	cor	cor
Testis_Expression	cor	cor	cor	cor	cor	cor
chh_meth	na	n	n	na	n	na
chg_meth	na	n	n	n	n	na
cpg_meth	y	na	na	y	y	na
