"","feature","feature_num","feature_names","coefficient","significance","pseudoR2"
"1","feature_1",1,"H2AFZ","-0.662047100043216","0.000109899560131477","0.00536313015514145"
"6","feature_3",3,"H4K20me1","-0.819819731443938","8.24833373199954e-09","0.0121203253649911"
"2","feature_17",17,"Direct repeats","0.414492684062687","0.000484675873252387","0.00437013078235604"
"3","feature_21",21,"Most conserved element","-1.38751743050386","3.36428209857083e-47","0.0874054022395336"
"4","feature_23",23,"Introns","-0.223306213555782","1.5915352981372e-17","0.0265084358363169"
"5","feature_27",27,"Microsatellites di- tri- tetra-nucleotide","-0.230615981894","0.0136835185122281","0.00216567098663134"
"7","feature_30",30,"MIR","-0.722381257227377","5.16466969894924e-37","0.0655649199658865"
"8","feature_31",31,"LTR elements","0.132156379368658","1.51241633917723e-05","0.00671567336606116"
"9","feature_32",32,"L1 target motifs","-1.48625905391865","3.90622331906467e-27","0.0443474474942155"
"10","feature_38",38,"Sex-averaged recombination hotspots","-0.0303285976097987","0.214191351318376","0.000548130954812542"
"11","feature_40",40,"hESC gene expression","-0.115984820764553","9.23201592864567e-09","0.0119003937325884"
