id	name	L1denovo	L1Pol	L1HS	Control
H2AFZ_signal	H2AFZ	L1denovo_H1-hESC_H2AFZ_signal.bed	L1Pol_H1-hESC_H2AFZ_signal.bed	L1HS_H1-hESC_H2AFZ_signal.bed	Control_H1-hESC_H2AFZ_signal.bed
H3K27ac_signal	H3K27ac	L1denovo_H1-hESC_H3K27ac_signal.bed	L1Pol_H1-hESC_H3K27ac_signal.bed	L1HS_H1-hESC_H3K27ac_signal.bed	Control_H1-hESC_H3K27ac_signal.bed
H4K20me1_signal	H4K20me1	L1denovo_H1-hESC_H4K20me1_signal.bed	L1Pol_H1-hESC_H4K20me1_signal.bed	L1HS_H1-hESC_H4K20me1_signal.bed	Control_H1-hESC_H4K20me1_signal.bed
H3K36me3_signal	H3K36me3	L1denovo_H1-hESC_H3K36me3_signal.bed	L1Pol_H1-hESC_H3K36me3_signal.bed	L1HS_H1-hESC_H3K36me3_signal.bed	Control_H1-hESC_H3K36me3_signal.bed
H3K4me1_signal	H3K4me1	L1denovo_H1-hESC_H3K4me1_signal.bed	L1Pol_H1-hESC_H3K4me1_signal.bed	L1HS_H1-hESC_H3K4me1_signal.bed	Control_H1-hESC_H3K4me1_signal.bed
H3K4me2_signal	H3K4me2	L1denovo_H1-hESC_H3K4me2_signal.bed	L1Pol_H1-hESC_H3K4me2_signal.bed	L1HS_H1-hESC_H3K4me2_signal.bed	Control_H1-hESC_H3K4me2_signal.bed
H3K4me3_signal	H3K4me3	L1denovo_H1-hESC_H3K4me3_signal.bed	L1Pol_H1-hESC_H3K4me3_signal.bed	L1HS_H1-hESC_H3K4me3_signal.bed	Control_H1-hESC_H3K4me3_signal.bed
H3K79me2_signal	H3K79me2	L1denovo_H1-hESC_H3K79me2_signal.bed	L1Pol_H1-hESC_H3K79me2_signal.bed	L1HS_H1-hESC_H3K79me2_signal.bed	Control_H1-hESC_H3K79me2_signal.bed
H3K9ac_signal	H3K9ac	L1denovo_H1-hESC_H3K9ac_signal.bed	L1Pol_H1-hESC_H3K9ac_signal.bed	L1HS_H1-hESC_H3K9ac_signal.bed	Control_H1-hESC_H3K9ac_signal.bed
H3K9me3_signal	H3K9me3	L1denovo_H1-hESC_H3K9me3_signal.bed	L1Pol_H1-hESC_H3K9me3_signal.bed	L1HS_H1-hESC_H3K9me3_signal.bed	Control_H1-hESC_H3K9me3_signal.bed
H3K27me3_signal	H3K27me3	L1denovo_H1-hESC_H3K27me3_signal.bed	L1Pol_H1-hESC_H3K27me3_signal.bed	L1HS_H1-hESC_H3K27me3_signal.bed	Control_H1-hESC_H3K27me3_signal.bed
CTCF_signal	CTCF	L1denovo_ENCFF000AVN_signal.bed	L1Pol_ENCFF000AVN_signal.bed	L1HS_ENCFF000AVN_signal.bed	Control_ENCFF000AVN_signal.bed
DNase_DGF	DNase digital genomic footprinting	1_1.bed	2_1.bed	3_1.bed	0_1.bed
DNase_DHS	DNase hypersensitive sites	1_40.bed	2_40.bed	3_40.bed	0_40.bed
DNase_DHS_signal	DNase hypersensitive sites	L1denovo_ENCFF316ZUB_signal.bed	L1Pol_ENCFF316ZUB_signal.bed	L1HS_ENCFF316ZUB_signal.bed	Control_ENCFF316ZUB_signal.bed
RNA_PolII	RNA Pol2	1_2.bed	2_2.bed	3_2.bed	0_2.bed
Quadruplex	G Quadruplexes	1_13.bed	2_13.bed	3_13.bed	0_13.bed
A_Phased	A-phased repeats	1_3.bed	2_3.bed	3_3.bed	0_3.bed
Direct_Repeats	Direct repeats	1_5.bed	2_5.bed	3_5.bed	0_5.bed
Inverted_Repeats	Inverted repeats	1_7.bed	2_7.bed	3_7.bed	0_7.bed
Mirror_Repeats	Mirror repeats	1_9.bed	2_9.bed	3_9.bed	0_9.bed
Z_DNA	Z DNA motifs	1_16.bed	2_16.bed	3_16.bed	0_16.bed
Most_Conserved	Most conserved element	1_11.bed	2_11.bed	3_11.bed	0_11.bed
Exons	Exons	1_12.bed	2_12.bed	3_12.bed	0_12.bed
Introns	Introns	1_17.bed	2_17.bed	3_17.bed	0_17.bed
GC_Content	GC content	1_41.bed	2_41.bed	3_41.bed	0_41.bed
AT_Content	AT content	1_42.bed	2_42.bed	3_42.bed	0_42.bed
